,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
874,Ducati Monster 1200R,0,-,Ducati,Ducati Monster 1200R,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
875,Ducati Monster 1200S,0,-,Ducati,Ducati Monster 1200S,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
876,Ducati Monster 797,0,-,Ducati,Ducati Monster 797,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
877,Ducati Monster 821,0,-,Ducati,Ducati Monster 821,821cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
878,Ducati Monster 937,0,-,Ducati,Ducati Monster 937,937cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
879,Ducati Multistrada 1260,0,-,Ducati,Ducati Multistrada 1260,1262cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
880,Ducati Multistrada 1260 Enduro,0,-,Ducati,Ducati Multistrada 1260 Enduro,1262cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
881,Ducati Multistrada 950,0,-,Ducati,Ducati Multistrada 950,937cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
882,Ducati Multistrada V4,0,-,Ducati,Ducati Multistrada V4,1158cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
883,Ducati Panigale V2,0,-,Ducati,Ducati Panigale V2,955cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
884,Ducati Panigale V4,0,-,Ducati,Ducati Panigale V4,1103cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
885,Ducati Panigale V4 R,0,-,Ducati,Ducati Panigale V4 R,998cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
886,Ducati Panigale V4 Speciale,0,-,Ducati,Ducati Panigale V4 Speciale,1103cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
887,Ducati Scrambler 1100,0,-,Ducati,Ducati Scrambler 1100,1079cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
888,Ducati Scrambler 1100 Special,0,-,Ducati,Ducati Scrambler 1100 Special,1079cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
889,Ducati Scrambler 1100 Sport,0,-,Ducati,Ducati Scrambler 1100 Sport,1079cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
890,Ducati Scrambler Cafe Racer,0,-,Ducati,Ducati Scrambler Cafe Racer,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
891,Ducati Scrambler Classic,0,-,Ducati,Ducati Scrambler Classic,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
892,Ducati Scrambler Desert Sled,0,-,Ducati,Ducati Scrambler Desert Sled,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
893,Ducati Scrambler Full Throttle,0,-,Ducati,Ducati Scrambler Full Throttle,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
894,Ducati Scrambler Icon,0,-,Ducati,Ducati Scrambler Icon,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
895,Ducati Scrambler Mach 2.0,0,-,Ducati,Ducati Scrambler Mach 2.0,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
896,Ducati Scrambler Sixty2,0,-,Ducati,Ducati Scrambler Sixty2,399cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
897,Ducati Scrambler Street Classic,0,-,Ducati,Ducati Scrambler Street Classic,803cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
